,name,brand_id,fs_id,address,address2,city,state,country,zip,phone,website,guide,id,lat,lng,created_at,updated_at,distance_km
55,Papa John's,513fbc1283aa2dc80c00000e,,7930 Thaxton Rd,,Austin,TX,US,78747,+15129757272,http://www.papajohns.com/,"<p><b id=""docs-internal-guid-f6f29d9e-670b-15e9-023e-ee3700263fe2""></b></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><i>Load up on veggies and keep it light on the meat</i></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Avoid fatty meats and go for veggie toppings instead. The more veggies the better, but if you want to include some meat on your next slice avoid high calories options like pepperoni and sausage and choose Canadian bacon or chicken instead.</span></p><p><br/></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><i>Stay thin</i></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">A thinner crust means fewer calories per slice.</span></p><p><br/></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><i>Light Cheese</i></span></p><p><span style=""color: #000000;background-color: transparent;"">Order your next pizza with light cheese - less calories but all the flavor!</span></p>",843918,30.157489776611328,-97.74451446533203,2017-06-26T21:59:53.000Z,2018-05-05T16:46:56.000Z,37.49093957001584
56,Papa John's,513fbc1283aa2dc80c00000e,576ef483cd1021b4e690bdd2,7930 Thaxton Rd Ste 400,,Austin,TX,US,78747,,http://www.papajohns.com/,"<p><b id=""docs-internal-guid-f6f29d9e-670b-15e9-023e-ee3700263fe2""></b></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><i>Load up on veggies and keep it light on the meat</i></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Avoid fatty meats and go for veggie toppings instead. The more veggies the better, but if you want to include some meat on your next slice avoid high calories options like pepperoni and sausage and choose Canadian bacon or chicken instead.</span></p><p><br/></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><i>Stay thin</i></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">A thinner crust means fewer calories per slice.</span></p><p><br/></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><i>Light Cheese</i></span></p><p><span style=""color: #000000;background-color: transparent;"">Order your next pizza with light cheese - less calories but all the flavor!</span></p>",2579708,30.157367706298828,-97.7446060180664,2019-04-19T00:03:53.000Z,2019-04-19T00:03:53.000Z,37.49240756774572
61,Burger King,513fbc1283aa2dc80c00000a,,3001 MONTOPOLIS DR,,Austin,TX,US,78741,+15123867126,http://www.burgerking.com,"<p><b id=""docs-internal-guid-c36d44f9-8310-0df4-9171-7ff7a1ae252c""></b></p><p dir=""ltr""><b>A smaller sandwich</b></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Want that Whopper? Try a Whopper Jr. for about half the calories. It's a 300-calorie burger bargain.</span></p><p><b style=""color: rgb(0, 0, 0);background-color: transparent;"">Beyond the beef</b><br/></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">There's plenty of lean poultry on the menu at Burger King. Try it in the Chicken, Apple &amp; Cranberry Salad or on the Tendergrill Chicken Sandwich. Another option? Ditch the meat altogether and try the Veggie Burger instead. </span></p><p><b>Swap Sides</b><br/></p><p>Instead of French Fries or Onion Rings, pair your burger or sandwich with a Garden Side Salad or Apple Slices.</p>",791098,30.21299934387207,-97.71199798583984,2017-06-26T21:53:47.000Z,2017-08-20T14:17:53.000Z,38.232177422543174
62,Jack in the Box,513fbc1283aa2dc80c000012,,6133 E BEN WHITE BLVD,,Austin,TX,US,78741,+15123890490,http://www.jackinthebox.com,"<p><b id=""docs-internal-guid-c36d44f9-8c9a-d569-25bc-a1492f4dbf1c""></b></p><p><span style=""color: #000000;background-color: transparent;""><b>Think Green</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Cut calories and boost veggies by ordering a salad topped with grilled chicken. Choose from the classic Grilled Chicken Salad, Chicken Club Salad, or Southwest Chicken Salad. Use only half the dressing to keep calories at 500 or less.</span></p><p><b style=""color: rgb(0, 0, 0);background-color: transparent;"">Keep it Small</b><br/></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Skip the big burgers like the Buttery Jack and Jumbo Jack and try the 320-calorie Jr. Jack instead. Pair it with a Side Salad to punch up the produce.</span></p><p><span style=""color: rgb(0, 0, 0);background-color: transparent;""><b>Something Different</b></span><br/></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Branch out beyond the typical burger or chicken sandwich and try the Chicken Fajita Pita. With only 340 calories, it’s a bargain!</span></p><p><span style=""color: rgb(0, 0, 0);background-color: transparent;""><b>Better Breakfast</b></span><br/></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">If you’re looking for a lighter breakfast, try the 140-calorie Mini Pancakes (260 calories with syrup) or the 280-calorie Breakfast Jack. Hold the Hash Browns and pair your breakfast with the Apple Bites with Caramel Dip instead.</span></p>",792625,30.212799072265625,-97.71659851074219,2017-06-26T21:53:59.000Z,2017-08-20T14:07:54.000Z,38.56691348438623
64,Wendy's,513fbc1283aa2dc80c00000f,,6200 E BEN WHITE BLVD,,Austin,TX,US,78741,+15124250531,http://www.wendys.com,"<p><b id=""docs-internal-guid-c36d44f9-8334-36aa-151b-5d15c5c2d452""></b></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><b>Stick with Jr. size</b></span></p><p dir=""ltr"">Getting a burger? Stick with a fewer-than-400-calories Jr. size.  If it's a Frosty you're fantasizing about,  a Jr. size will cost you about 200 calories. That ain't bad.</p><p><b style=""color: rgb(0, 0, 0);background-color: transparent;"">Choose grilled chicken</b><br/></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">For salads, sandwiches, and wraps, choose lean grilled chicken over fried. </span></p><p><b style=""color: rgb(0, 0, 0);"">Make a meal out of sides</b></p><p>Pair an order of Rich &amp; Meaty Chili or Baked Potato (hold the cheese) with a Garden Side Salad for a filling meal with around 500 calories.</p>",792764,30.21339988708496,-97.71949768066406,2017-06-26T21:54:00.000Z,2017-08-20T14:07:46.000Z,38.82823112748052
66,Little Caesars Pizza,513fbc1283aa2dc80c000030,4c6b475a7c052d7f156e29cf,5200 E William Cannon Dr Bldg B Ste 100,,Austin,TX,US,78744,+15124424600,http://www.littlecaesars.com/,"<p dir=""ltr"" style=""color: rgb(34, 34, 34);background-color: rgb(255, 255, 255);""><span style=""color: rgb(0, 0, 0);background-color: transparent;""></span></p><p><b>Thin is In</b></p><p>Ditch the deep dish and go for the thinner regular or pretzel crust instead - you'll save up to 100 calories.</p><p><b>Veg Out</b><br/></p><p>Pass on the pepperoni and load up your pizza with veggies for an added crunch and nutritional boost!</p><p><b>Skip the Dip</b><br/></p><p>Just 1 container of Caesar's dipping sauces can set you back up to 380 calories. If you want to add a little kick to your slice, add calorie-free red pepper flakes or oregano.</p><p><span style=""color: rgb(0, 0, 0);background-color: transparent;""></span></p>",955513,30.18038558959961,-97.74789428710938,2017-07-05T17:33:18.000Z,2018-02-23T17:32:56.000Z,39.020864858754706
67,Church's Chicken,513fbc1283aa2dc80c00002d,,5309 NUCKOLS CROSSING RD,,Austin,TX,US,78744,+15124629560,http://www.churchs.com/index.html,,843552,30.19300079345703,-97.73899841308594,2017-06-26T21:59:51.000Z,2017-08-20T14:07:56.000Z,39.04063382673319
68,Sonic,513fbc1283aa2dc80c000010,,5109 E STASSNEY LN,,Austin,TX,US,78744,+15124417878,http://www.sonicdrivein.com/,"<p><b id=""docs-internal-guid-c36d44f9-83b3-d5e2-4f6e-751171092864""></b></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b></b></span></p><p style=""color: rgb(85, 85, 85);background-color: rgb(255, 255, 255);""><span style=""color: rgb(0, 0, 0);background-color: transparent;""><b><b>Think small</b></b></span><br/></p><p dir=""ltr"" style=""color: rgb(85, 85, 85);background-color: rgb(255, 255, 255);""><span style=""color: rgb(0, 0, 0);background-color: transparent;"">When it comes to burgers, smaller is better. At Sonic, that means a Jr. Burger or Jr. Deluxe Cheeseburger. Got a hankering for a hot dog? S</span><span style=""color: rgb(0, 0, 0);"">kip the footlong and stick with a regular New York, All-American, or Chicago Dog.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Go wacky</b></span><br/></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Keep a lid on calories by ordering a Wacky Pack kid's meal. Pair Chicken Strips, a Jr. Burger, Corn Dog, or Hot Dog with Apple Slices and 1% Milk, Orange Juice, or Apple Juice for a 500-calorie meal. </span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><b>Trim chicken</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">With around 450 calories each, the Classic Grilled Chicken Sandwich and Grilled Chicken Wrap are great choices.</span></p>",792255,30.193500518798828,-97.7396011352539,2017-06-26T21:53:56.000Z,2017-08-20T14:07:25.000Z,39.11955252951435
69,Tropical Smoothie Cafe,513fbc1283aa2dc80c000170,5329b7a6498eb123678ad90a,1078 Grove Blvd,,Austin,TX,US,78741,,http://tropicalsmoothie.com/,,2396012,30.23613929748535,-97.7048110961914,2017-12-02T22:10:54.000Z,2020-06-16T23:38:53.000Z,39.35710605485103
71,McDonald's,513fbc1283aa2dc80c000053,,4501 E BEN WHITE BLVD,,Austin,TX,US,78741,+15129127511,http://www.mcdonalds.com,"<p><b id=""docs-internal-guid-c36d44f9-7dea-ff30-8f5a-456a59f6fca8""></b></p><p dir=""ltr""><span style=""color: #222222;background-color: #ffffff;""><b>Choose Chicken</b></span></p><p dir=""ltr""><span style=""color: #222222;background-color: #ffffff;"">Lean, grilled chicken is the way to go at McDonald’s. Try it on a veggie-packed salad with a side of low fat dressing or opt for a grilled chicken sandwich or McWrap (hold the sauce) and pump up the produce with a side of Apple Slices or salad.</span></p><p dir=""ltr""><span style=""color: #222222;background-color: #ffffff;""> </span></p><p dir=""ltr""><span style=""color: #222222;background-color: #ffffff;""><b>Stick with Smaller</b></span></p><p dir=""ltr""><span style=""color: #222222;background-color: #ffffff;"">If it’s gotta be a burger, stick with a slim 250-calorie Hamburger or 300-calorie Cheeseburger.  Try getting one as part of a Happy Meal (yes, adults can eat these too!). With about 500 calories per meal, you’ll treat your inner child without growing your waistline.   </span></p><p dir=""ltr""><span style=""color: #222222;background-color: #ffffff;""> </span></p><p dir=""ltr""><span style=""color: #222222;background-color: #ffffff;""><b>Breakfast</b></span></p><p><span style=""color: #222222;background-color: #ffffff;"">Start your day with an Egg White Delight McMuffin, Fruit ‘N Yogurt Parfait, or Fruit &amp; Maple Oatmeal. Each clocks in with less than 300 calories. Skip the Hash Browns and get a side of Apple Slices instead.</span></p>",843039,30.21430015563965,-97.72940063476562,2017-06-26T21:59:47.000Z,2017-08-20T14:18:03.000Z,39.64650079387142
72,Subway,513fbc1283aa2dc80c000005,,6105 TECHNI CENTER DR,,Austin,TX,US,78721,+15129284948,http://www.subway.com,"<p><b id=""docs-internal-guid-6dd52ca7-83bb-38fc-ff7e-f8009bd649c2""></b></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Subway is a great place for a protein rich meal on the go. If you follow some of these tips you will satisfy your sandwich craving with a big nutritional punch!</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Pile on the veggies</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Subway lets you add as many veggies as you want at no additional charge! This is a great way to add more nutrients to your sandwich.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Go light on the spreads</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Choose light mayo or skip mayo all together and save 50-100 calories. Add some zest with mustard or honey mustard instead.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Choose sweets carefully</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Choose apples or a yogurt parfait instead of cookies if you're looking for a sweet ending to your meal.</span></p>",795225,30.275999069213867,-97.66899871826172,2017-06-26T21:54:19.000Z,2017-08-20T14:07:23.000Z,40.13735274894729
73,Subway,513fbc1283aa2dc80c000005,,"4410 E Riverside Dr #160, Austin",,Austin,Texas,US,78741,+15123892228,http://www.subway.com,"<p><b id=""docs-internal-guid-6dd52ca7-83bb-38fc-ff7e-f8009bd649c2""></b></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Subway is a great place for a protein rich meal on the go. If you follow some of these tips you will satisfy your sandwich craving with a big nutritional punch!</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Pile on the veggies</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Subway lets you add as many veggies as you want at no additional charge! This is a great way to add more nutrients to your sandwich.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Go light on the spreads</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Choose light mayo or skip mayo all together and save 50-100 calories. Add some zest with mustard or honey mustard instead.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Choose sweets carefully</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Choose apples or a yogurt parfait instead of cookies if you're looking for a sweet ending to your meal.</span></p>",792150,30.233999252319336,-97.72100067138672,2017-06-26T21:53:55.000Z,2017-12-02T22:10:56.000Z,40.37687923054663
74,Little Caesars Pizza,513fbc1283aa2dc80c000030,,"4410 East Riverside Drive #170, Austin",,Austin,Texas,US,78741,+15123893636,http://www.littlecaesars.com/,"<p dir=""ltr"" style=""color: rgb(34, 34, 34);background-color: rgb(255, 255, 255);""><span style=""color: rgb(0, 0, 0);background-color: transparent;""></span></p><p><b>Thin is In</b></p><p>Ditch the deep dish and go for the thinner regular or pretzel crust instead - you'll save up to 100 calories.</p><p><b>Veg Out</b><br/></p><p>Pass on the pepperoni and load up your pizza with veggies for an added crunch and nutritional boost!</p><p><b>Skip the Dip</b><br/></p><p>Just 1 container of Caesar's dipping sauces can set you back up to 380 calories. If you want to add a little kick to your slice, add calorie-free red pepper flakes or oregano.</p><p><span style=""color: rgb(0, 0, 0);background-color: transparent;""></span></p>",953635,30.233924865722656,-97.72119140625,2017-07-05T17:32:58.000Z,2017-12-02T22:10:56.000Z,40.38558676982516
75,Subway,513fbc1283aa2dc80c000005,,4410 E Riverside Dr,,Austin,TX,US,78741,+15123890355,http://www.subway.com,"<p><b id=""docs-internal-guid-6dd52ca7-83bb-38fc-ff7e-f8009bd649c2""></b></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Subway is a great place for a protein rich meal on the go. If you follow some of these tips you will satisfy your sandwich craving with a big nutritional punch!</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Pile on the veggies</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Subway lets you add as many veggies as you want at no additional charge! This is a great way to add more nutrients to your sandwich.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Go light on the spreads</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Choose light mayo or skip mayo all together and save 50-100 calories. Add some zest with mustard or honey mustard instead.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Choose sweets carefully</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Choose apples or a yogurt parfait instead of cookies if you're looking for a sweet ending to your meal.</span></p>",2396013,30.23375701904297,-97.7214126586914,2017-12-02T22:10:55.000Z,2017-12-02T22:10:55.000Z,40.38987704003711
76,Taco Cabana,521b95434a56d006cae2976a,,"2507 East Riverside Drive, Austin",,Austin,Texas,US,78741,+15124622236,http://www.tacocabana.com/,,841441,30.23375701904297,-97.72425842285156,2017-06-26T21:59:37.000Z,2017-12-02T22:10:57.000Z,40.599763373269866
77,Wingstop,513fbc1283aa2dc80c00006d,,"2410 E Riverside Dr, Ste A1, Austin",,Austin,Texas,US,78741,+15128519464,http://www.wingstop.com/,,841290,30.235916137695312,-97.72370910644531,2017-06-26T21:59:35.000Z,2017-12-02T22:10:56.000Z,40.71320124523887
80,Gatti's Pizza,513fbc1283aa2dc80c0003ee,4bb2918235f0c9b6c57bbb83,2410 E Riverside Dr,,Austin,TX,US,78741,+15124592222,http://gattispizza.com,,2396014,30.237001419067383,-97.72489929199219,2017-12-02T22:10:55.000Z,2017-12-02T22:10:55.000Z,40.87837946102251
81,Sonic,513fbc1283aa2dc80c000010,,1805 E WILLIAM CANNON DR,,Austin,TX,US,78744,+15123263844,http://www.sonicdrivein.com/,"<p><b id=""docs-internal-guid-c36d44f9-83b3-d5e2-4f6e-751171092864""></b></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b></b></span></p><p style=""color: rgb(85, 85, 85);background-color: rgb(255, 255, 255);""><span style=""color: rgb(0, 0, 0);background-color: transparent;""><b><b>Think small</b></b></span><br/></p><p dir=""ltr"" style=""color: rgb(85, 85, 85);background-color: rgb(255, 255, 255);""><span style=""color: rgb(0, 0, 0);background-color: transparent;"">When it comes to burgers, smaller is better. At Sonic, that means a Jr. Burger or Jr. Deluxe Cheeseburger. Got a hankering for a hot dog? S</span><span style=""color: rgb(0, 0, 0);"">kip the footlong and stick with a regular New York, All-American, or Chicago Dog.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Go wacky</b></span><br/></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Keep a lid on calories by ordering a Wacky Pack kid's meal. Pair Chicken Strips, a Jr. Burger, Corn Dog, or Hot Dog with Apple Slices and 1% Milk, Orange Juice, or Apple Juice for a 500-calorie meal. </span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><b>Trim chicken</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">With around 450 calories each, the Classic Grilled Chicken Sandwich and Grilled Chicken Wrap are great choices.</span></p>",782554,30.18838882446289,-97.76544952392578,2017-06-26T21:52:48.000Z,2017-08-20T14:04:40.000Z,40.92599212108503
82,Taco Bell,513fbc1283aa2dc80c000020,,"2308 East Riverside Drive, Austin",,Austin,Texas,US,78741,+15124418821,https://www.tacobell.com/,"<p><b id=""docs-internal-guid-6dd52ca7-83cf-be83-281f-7497966debf3""></b></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Taco Bell allows for customization on most of their menu items so try these suggestions to make your next taco tastier and healthier.</span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><i>Fresco Menu</i></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Taco Bell offers 7 signature Fresco items that are big on flavor and are only 350 calories (or less!) and under 10 grams of fat. You can also order most items Fresco Style which can reduce the fat in your meal by up to 25%.</span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><i>More Veggies</i></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Add tomatoes, onions, peppers, lettuce, or salsa to your meal to boost veggie content. Taco Bell also has a wide selection of vegetarian selections to try. </span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><i>Up the flavor without the calories</i></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Instead of sour cream, cheese, or a creamy sauce, pour on one or more packets of Border Sauce to up the flavor without the guilt. Each packet is 0 calories and there are 4 varieties to try!</span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><i>Choose Small Drinks</i></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Keep sugary drinks, like soda, small. Save the larger cups for water or unsweetened tea.</span></p>",785886,30.2381591796875,-97.72532653808594,2017-06-26T21:53:10.000Z,2018-01-14T06:01:58.000Z,40.99271161143168
